Phrase,Meaning,Is This Accurate?,
"""Ninde ama, pati!""","Your mom, bitch!",51,49
Aaana kunna,Big dick,60,40
Achinga Kunnan,A man with his dick like a beans,58,42
Ajoli ka Thajoli,Transexual,41,59
Andi pidiyan,Dick catcher,54,46
Chandi,Ass,54,46
Ettukali Patti Pooran,Spider Pussy Bitch,50,50
Kandu,Girls pussy,46,54
Kanni,Virgin,50,50
"Kanni mola
rds)",First breast,50,50
Keepu,Concubine,55,45
Kettal,Fucking,53,47
Kolekkeri,Whore,54,46
Koothara,"Cheap, low-class, culture-less",78,22
Koothi,anus,74,26
Koothichi,Bitch,65,35
Koyimani,Penis,37,63
Kundi,Ass,82,18
Kundi mon,Son of a anas,53,47
Kunna,Dick,71,29
Kunna Oli,Dick Sucker,56,44
"Kunna paal
na+creole%29)",Sperm,78,22
Kunna thayoli,Motherfucking Dick,78,22
Lick Me,Anea Nakaa,43,57
Maratel ooki,Tree fucker,75,25
Masa,Prostitute,37,63
Mattanga Poore,Pumpkin Pussy,64,36
Mayiradi mon,Son of the wavy pubic hair,86,14
Mlechan,Ignorant,85,15
Mula Adi,Your boobs swung,50,50
Myre,Pubic hair,71,29
Myrru,Pubic Hair,67,33
Naayi meedan,Dog faced bitch,86,14
Nayinte Mone,Son Of A Bitch,61,39
Nayinte Monne,Son of a Bitch,60,40
Ninte Ammede Kothil.,In your mothers ass hole.,80,20
Ninte ama koondi ishtima,Your mom likes ass,45,55
Ninte ammakku vettu nayinte mone,fuck your mother you son of a bitch,47,53
Ninte ammaku vetu,Fuck your mom,55,45
Ninte ammede thenga mairu,your moms coconut pubes,43,57
Odu myre,run pubic motherfucker,22,78
Oooomb,Fuck off,40,60
Pacha tayolli,green motherfucker,39,61
Pachila Pooran,Green Leaf Pussy Man,85,15
Para kutichi,whore,69,31
Pela molichi,Unfair Girl,47,53
Pela vedi,Most Prostitute,70,30
Pezhachu Pettavan,"One who was born to a
slut",56,44
Poda Thayoli,Fuck you motherfucker,49,51
Pooranddi,Pussy+dick,75,25
Poori mone,Son of big Pussy mother,74,26
"Poorri
%29)",Girl with big puzzy,68,32
Pooru Montha,Cunt Face,60,40
Puchi,Pussy,62,38
